,Cocktail Name,Cocktail_tags,Ingredients,Preparation,Alcoholic?,Category
0,155 Belmont,,"1 shot Orange juice, 1 shot Vodka, 2 shots Light rum, 1 shot Dark rum, ",Blend with ice. Serve in a wine glass. Garnish with carrot.,Alcoholic,Cocktail
1,1-900-FUK-MEUP,,"1/4 oz Pineapple juice, 1/2 oz Cranberry juice, 1/4 oz Amaretto, 1/4 oz Malibu rum, 1/4 oz Midori melon liqueur, 1/4 oz Chambord raspberry liqueur, 1/4 oz Grand Marnier, 1/2 oz Absolut Kurant, ",Shake ingredients in a mixing tin filled with ice cubes. Strain into a rocks glass.,Alcoholic,Shot
2,110 in the shade,,"1.5 oz Tequila, 16 oz Lager, ",Drop shooter in glass. Fill with beer,Alcoholic,Beer
3,151 Florida Bushwacker,,"1 cup Vanilla ice-cream, 1 oz Coconut liqueur, 3 oz Milk, 1 oz Cointreau, 1 oz Dark Creme de Cacao, 1/2 oz Bacardi 151 proof rum, 1/2 oz Light rum, 1/2 oz Malibu rum, ",Combine all ingredients. Blend until smooth. Garnish with chocolate shavings if desired.,Alcoholic,Shake
4,252,,"1/2 shot Wild Turkey, 1/2 shot Bacardi 151 proof rum, ","Add both ingredients to shot glass, shoot, and get drunk quick",Alcoholic,Shot
5,24k nightmare,,"1/2 oz Bacardi 151 proof rum, 1/2 oz Rumple Minze, 1/2 oz Jägermeister, 1/2 oz Goldschlager, ","Add over ice,shake and pour.",Alcoholic,Shot
6,3 Wise Men,,"1/3 oz Jim Beam, 1/3 oz Johnnie Walker, 1/3 oz Jack Daniels, ",put them them in a glass... and slam it to tha head.,Alcoholic,Shot
7,3-Mile Long Island Iced Tea,,"Garnish withLemon, 1 wedge Bitters, 1-2 dash Sweet and sour, 1/2 ozCoca-Cola, 1/2 ozVodka, 1/2 ozTriple sec, 1/2 ozTequila, 1/2 ozLight rum, 1/2 ozGin, ",Fill 14oz glass with ice and alcohol. Fill 2/3 glass with cola and remainder with sweet & sour. Top with dash of bitters and lemon wedge.,Alcoholic,Ordinary Drink
8,410 Gone,,"NoneCoca-Cola, 2-3 ozPeach Vodka, ",,Alcoholic,Ordinary Drink
9,50/50,,"Fill with Orange juice, 1 splash Grand Marnier, 2 1/2 oz Vanilla vodka, ",fill glass with crushed ice. Add vodka. Add a splash of grand-marnier. Fill with o.j.,Alcoholic,Ordinary Drink
