,Cocktail Name,Recipe,Ingredients,Proportions
0,155 Belmont,"1 shot Orange juice, 1 shot Vodka, 2 shots Light rum, 1 shot Dark rum","Orange juice, Vodka, Light rum, Dark rum","1 shot , 1 shot , 2 shots , 1 shot "
1,1-900-FUK-MEUP,"1/4 oz Pineapple juice, 1/2 oz Cranberry juice, 1/4 oz Amaretto, 1/4 oz Malibu rum, 1/4 oz Midori melon liqueur, 1/4 oz Chambord raspberry liqueur, 1/4 oz Grand Marnier, 1/2 oz Absolut Kurant","Pineapple juice, Cranberry juice, Amaretto, Malibu rum, Midori melon liqueur, Chambord raspberry liqueur, Grand Marnier, Absolut Kurant","1/4 oz , 1/2 oz , 1/4 oz , 1/4 oz , 1/4 oz , 1/4 oz , 1/4 oz , 1/2 oz "
2,110 in the shade,"1.5 oz Tequila, 16 oz Lager","Tequila, Lager","1.5 oz , 16 oz "
3,151 Florida Bushwacker,"1 cup Vanilla ice-cream, 1 oz Coconut liqueur, 3 oz Milk, 1 oz Cointreau, 1 oz Dark Creme de Cacao, 1/2 oz Bacardi 151 proof rum, 1/2 oz Light rum, 1/2 oz Malibu rum","Vanilla ice-cream, Coconut liqueur, Milk, Cointreau, Dark Creme de Cacao, 151 proof rum, Light rum, Malibu rum","1 cup , 1 oz , 3 oz , 1 oz , 1 oz , 1/2 oz Bacardi , 1/2 oz , 1/2 oz "
4,252,"1/2 shot Wild Turkey, 1/2 shot Bacardi 151 proof rum","Wild Turkey, 151 proof rum","1/2 shot , 1/2 shot Bacardi "
5,24k nightmare,"1/2 oz Bacardi 151 proof rum, 1/2 oz Rumple Minze, 1/2 oz Jägermeister, 1/2 oz Goldschlager","151 proof rum, Rumple Minze, Jägermeister, Goldschlager","1/2 oz Bacardi , 1/2 oz , 1/2 oz , 1/2 oz "
6,3 Wise Men,"1/3 oz Jim Beam, 1/3 oz Johnnie Walker, 1/3 oz Jack Daniels","Jim Beam, Johnnie Walker, Jack Daniels","1/3 oz , 1/3 oz , 1/3 oz "
7,3-Mile Long Island Iced Tea,"Garnish withLemon, 1 wedge Bitters, 1-2 dash Sweet and sour, 1/2 ozCoca-Cola, 1/2 ozVodka, 1/2 ozTriple sec, 1/2 ozTequila, 1/2 ozLight rum, 1/2 ozGin","Lemon, Bitters, Sweet and sour, Coca-Cola, Vodka, Triple sec, Tequila, Light rum, Gin","Garnish with, 1 wedge , 1-2 dash , 1/2 oz, 1/2 oz, 1/2 oz, 1/2 oz, 1/2 oz, 1/2 oz"
8,410 Gone,"NoneCoca-Cola, 2-3 ozPeach Vodka","Coca-Cola, Peach Vodka",2-3 oz
9,50/50,"Fill with Orange juice, 1 splash Grand Marnier, 2 1/2 oz Vanilla vodka","Orange juice, Grand Marnier, Vanilla vodka","Fill with , 1 splash , 2 1/2 oz "
10,501 Blue,"None7-Up, NoneSour mix, NoneVodka, NoneBlueberry schnapps, NoneBlue Curacao","7-Up, Sour mix, Vodka, Blueberry schnapps, Blue Curacao",
11,57 Chevy with a White License Plate,"1 oz Vodka, 1 oz white Creme de Cacao","Vodka, Creme de Cacao","1 oz , 1 oz white "
12,69 Special,"0.75 oz Lemon juice, 4 oz 7-Up, 2 oz dry Gin","Lemon juice, 7-Up, Gin","0.75 oz , 4 oz , 2 oz dry "
13,747,"1/3 part Frangelico, 1/3 part Baileys irish cream, 1/3 part Kahlua","Frangelico, Baileys irish cream, Kahlua","1/3 part , 1/3 part , 1/3 part "
14,747 Drink,"TopSprite, 1 ozCranberry Juice, 1 ozRoses sweetened lime juice, 1 ozVodka","Sprite, Cranberry Juice, Roses sweetened lime juice, Vodka","Top, 1 oz, 1 oz, 1 oz"
15,9 1/2 Weeks,"1 oz Orange juice, 1 splash Strawberry liqueur, 1/2 oz Orange Curacao, 2 oz Absolut Citron","Orange juice, Strawberry liqueur, Orange Curacao, Absolut Citron","1 oz , 1 splash , 1/2 oz , 2 oz "
16,A1,"1/8 ShotGrenadine, 1/4 ShotLemon Juice, 1 Shot Grand Marnier, 1 3/4 shot Gin","Grenadine, Lemon Juice, Grand Marnier, Gin","1/8 Shot, 1/4 Shot, 1 Shot , 1 3/4 shot "
17,ABC,"1/3 Cognac, 1/3 Baileys irish cream, 1/3 Amaretto","Cognac, Baileys irish cream, Amaretto","1/3 , 1/3 , 1/3 "
18,Ace,"1/2 FreshEgg White, 1/2 shotMilk, 1/2 shot Heavy cream, 1/2 shot Grenadine, 2 shots Gin","Egg White, Milk, Heavy cream, Grenadine, Gin","1/2 Fresh, 1/2 shot, 1/2 shot , 1/2 shot , 2 shots "
19,ACID,"1 oz Wild Turkey, 1 oz Bacardi 151 proof rum","Wild Turkey, 151 proof rum","1 oz , 1 oz Bacardi "
20,Adam,"1 tsp Grenadine, 1 oz Lemon juice, 2 oz Dark rum","Grenadine, Lemon juice, Dark rum","1 tsp , 1 oz , 2 oz "
21,AT&T,"4 oz Tonic water, 1 oz Gin, 1 oz Absolut Vodka","Tonic water, Gin, Absolut Vodka","4 oz , 1 oz , 1 oz "
22,A. J.,"1 oz Grapefruit juice, 1 1/2 oz Applejack","Grapefruit juice, Applejack","1 oz , 1 1/2 oz "
23,Affair,"NoneClub soda, 2 oz Cranberry juice, 2 oz Orange juice, 2 oz Strawberry schnapps","Club soda, Cranberry juice, Orange juice, Strawberry schnapps","2 oz , 2 oz , 2 oz "
24,Apello,"1 Maraschino cherry, 1 cl Apple juice, 3 cl Grapefruit juice, 4 cl Orange juice","Maraschino cherry, Apple juice, Grapefruit juice, Orange juice","1 , 1 cl , 3 cl , 4 cl "
