,Cocktail Name,Ingredients
0,155 Belmont,"1 shot Orange juice, 1 shot Vodka, 2 shots Light rum, 1 shot Dark rum, "
1,1-900-FUK-MEUP,"1/4 oz Pineapple juice, 1/2 oz Cranberry juice, 1/4 oz Amaretto, 1/4 oz Malibu rum, 1/4 oz Midori melon liqueur, 1/4 oz Chambord raspberry liqueur, 1/4 oz Grand Marnier, 1/2 oz Absolut Kurant, "
2,110 in the shade,"1.5 oz Tequila, 16 oz Lager, "
3,151 Florida Bushwacker,"1 cup Vanilla ice-cream, 1 oz Coconut liqueur, 3 oz Milk, 1 oz Cointreau, 1 oz Dark Creme de Cacao, 1/2 oz Bacardi 151 proof rum, 1/2 oz Light rum, 1/2 oz Malibu rum, "
4,252,"1/2 shot Wild Turkey, 1/2 shot Bacardi 151 proof rum, "
5,24k nightmare,"1/2 oz Bacardi 151 proof rum, 1/2 oz Rumple Minze, 1/2 oz Jägermeister, 1/2 oz Goldschlager, "
6,3 Wise Men,"1/3 oz Jim Beam, 1/3 oz Johnnie Walker, 1/3 oz Jack Daniels, "
7,3-Mile Long Island Iced Tea,"Garnish withLemon, 1 wedge Bitters, 1-2 dash Sweet and sour, 1/2 ozCoca-Cola, 1/2 ozVodka, 1/2 ozTriple sec, 1/2 ozTequila, 1/2 ozLight rum, 1/2 ozGin, "
8,410 Gone,"NoneCoca-Cola, 2-3 ozPeach Vodka, "
9,50/50,"Fill with Orange juice, 1 splash Grand Marnier, 2 1/2 oz Vanilla vodka, "
10,501 Blue,"None7-Up, NoneSour mix, NoneVodka, NoneBlueberry schnapps, NoneBlue Curacao, "
11,57 Chevy with a White License Plate,"1 oz Vodka, 1 oz white Creme de Cacao, "
12,69 Special,"0.75 oz Lemon juice, 4 oz 7-Up, 2 oz dry Gin, "
13,747,"1/3 part Frangelico, 1/3 part Baileys irish cream, 1/3 part Kahlua, "
14,747 Drink,"TopSprite, 1 ozCranberry Juice, 1 ozRoses sweetened lime juice, 1 ozVodka, "
15,9 1/2 Weeks,"1 oz Orange juice, 1 splash Strawberry liqueur, 1/2 oz Orange Curacao, 2 oz Absolut Citron, "
16,A1,"1/8 ShotGrenadine, 1/4 ShotLemon Juice, 1 Shot Grand Marnier, 1 3/4 shot Gin, "
17,ABC,"1/3 Cognac, 1/3 Baileys irish cream, 1/3 Amaretto, "
18,Ace,"1/2 FreshEgg White, 1/2 shotMilk, 1/2 shot Heavy cream, 1/2 shot Grenadine, 2 shots Gin, "
19,ACID,"1 oz Wild Turkey, 1 oz Bacardi 151 proof rum, "
20,Adam,"1 tsp Grenadine, 1 oz Lemon juice, 2 oz Dark rum, "
21,AT&T,"4 oz Tonic water, 1 oz Gin, 1 oz Absolut Vodka, "
22,A. J.,"1 oz Grapefruit juice, 1 1/2 oz Applejack, "
23,Affair,"NoneClub soda, 2 oz Cranberry juice, 2 oz Orange juice, 2 oz Strawberry schnapps, "
25,Avalon,"NoneLemonade, 1 1/2 part Lemon juice, 6 parts Apple juice, 1 part Pisang Ambon, 3 partsVodka, "
26,Abilene,"3 oz Orange juice, 2 oz Peach nectar, 1 1/2 oz Dark rum, "
27,Addison,"1 1/2 shot Vermouth, 1 1/2 shot Gin, "
28,Almeria,"1 Egg white, 1 oz Kahlua, 2 oz Dark rum, "
29,Acapulco,"1 Mint, 1 Egg white, 1 tsp Sugar, 1 tblsp Lime juice, 1 1/2 tsp Triple sec, 1 1/2 oz Light rum, "
30,Affinity,"2 dashes Orange bitters, 1 oz Dry Vermouth, 1 oz Sweet Vermouth, 1 1/2 oz Scotch, "
31,Applecar,"1 oz Lemon juice, 1 oz Triple sec, 1 oz Applejack, "
32,Aviation,"1.5 clmaraschino liqueur, 1.5 cllemon juice, 4.5 clGin, "
33,Adam Bomb,"NoneFruit juice, 1-3 pint Salt, NoneIce, NoneFruit, 1/2 part Triple sec, 1 part Tequila, 1 part Vodka, 1 part Rum, "
34,Addington,"Top up with
Soda Water, 1 shot Dry Vermouth, 2 shots Sweet Vermouth, "
35,After sex,"NoneOrange juice, 1 cl Creme de Banane, 2 cl Vodka, "
37,Afternoon,"NoneCream, 4 cl hot Coffee, 1 1/2 Frangelico, 1 cl Baileys irish cream, 1 cl Kahlua, "
38,Alexander,"NoneNutmeg, 2 oz Light cream, 1/2 oz white Creme de Cacao, 1/2 oz Gin, "
39,Algonquin,"1 oz Pineapple juice, 1 oz Dry Vermouth, 1 1/2 oz Blended whiskey, "
40,Allegheny,"1 twist of Lemon peel, 1 1/2 tsp Lemon juice, 1 1/2 tsp Blackberry brandy, 1 oz Bourbon, 1 oz Dry Vermouth, "
41,B-52,"1/4 Kahlua, 1/3 Grand Marnier, 1/3 Baileys irish cream, "
42,B-53,"1/3 shot Grand Marnier, 1/3 shot Sambuca, 1/3 shot Kahlua, "
43,Bijou,"1 ozSweet Vermouth, 1 ozGin, 1 ozGreen Chartreuse, 1 dashOrange Bitters, "
44,Boxcar,"1 Egg white, 1/2 tsp Grenadine, 1 tsp Lemon juice, 1 oz Triple sec, 1 1/2 oz Gin, "
45,Big Red,"1/2 oz Goldschlager, 1/2 oz Irish cream, "
46,Bellini,"1 oz Peach schnapps, 6 oz Champagne, "
